name;ra;dec;amplitude;beyond1std;fpr_mid20;fpr_mid35;fpr_mid50;fpr_mid65;fpr_mid80;linear_trend;max_slope;med_abs_dev;med_buf_range_per;pair_slope_trend;percent_amplitude;pdfp;skew;kurtosis;std;ls;rcorbor;magratio;data_num;object;dmjd
CSS121123:051056-102401;77.732355;-10.400404;0.895;0.375;0.87482;0.907977;0.933366;0.95021;0.977077;0.003387;50.287356;0.735;1;0.571429;0.682579;1.30328;0.039772;-1.943315;0.794315;2.189545;0;0.5;8;CV;56254
CSS121123:045020-093113;72.582463;-9.520167;0.75;0.285714;0.085782;0.408489;0.629794;0.736414;0.870485;9.9e-05;44.265594;0.26;1;0.5;1.312065;0.875122;-0.41066;-0.164669;0.348123;6.810391;0;0.47619;21;CV;56254
CSS121120:020633+205707;31.639308;20.952106;2.375;0.276515;0.139132;0.233547;0.34222;0.494447;0.689385;-0.000139;258.164852;0.405;0.988636;0.533333;20.776867;2.122063;-1.24164;4.684604;0.685853;0.892231;0;0.5;264;CV;56251
CSS121114:093946+065210;144.941736;6.869316;1.495698;0.5;0.283271;0.434345;0.643386;0.890856;0.968692;0.000926;134.155388;0.909639;0.875;0.466667;1.509184;2.305349;0.439216;-1.313829;1.067609;3.566479;0.25;0.5;16;CV;56245
CSS121114:011948-241624;19.949708;-24.273572;0.281392;0.444444;0.615585;0.822992;0.903259;0.92025;0.954385;-0.000602;14.711447;0.089305;1;0.375;0.54665;0.598318;-0.21448;-1.89545;0.240627;5.080029;0;0.444444;9;CV;56245
CSS121112:211504-183405;318.765239;-18.568049;0.603089;0.285714;0.326438;0.554474;0.648174;0.741874;0.893837;0.000962;57.971814;0.370641;1;0.666667;0.529892;0.865782;0.394142;-1.212752;0.413295;2.730458;0;0.428571;7;CV;56243
CSS121025:180049+523235;270.204244;52.543164;2.065;0.346154;0.117387;0.149157;0.180537;0.245944;0.945981;-0.000703;185.714286;0.815;0.807692;0.4;6.222674;6.820358;-0.423126;-0.741981;1.200257;9.534554;0.115385;0.5;26;CV;56225
CSS121014:224648+065635;341.699018;6.942954;1.88;0.12987;0.023908;0.045316;0.06965;0.096428;0.139899;-4e-06;308.333334;0.235;0.948052;0.366667;10.857562;6.141118;-2.314614;5.902431;0.666455;1.790666;0;0.5;308;CV;56214
CSS121011:225648-274325;344.199368;-27.723736;1.04;0.142857;0.066766;0.111968;0.158522;0.272789;0.312805;7.1e-05;58.350101;0.27;1;0.566667;2.714998;2.996978;-1.27759;1.290952;0.519069;0.97886;0;0.5;42;CV;56211
CSS121010:174747+552918;266.946695;55.488411;2.28;0.135135;0.119297;0.207157;0.324726;0.405019;0.66348;-0.000372;431.438127;0.26;0.963964;0.566667;18.952623;1.4892;-2.452963;9.278809;0.725471;11.994407;0;0.495495;111;CV;56210
