objID,psfMag_u,psfMag_g,psfMag_r,psfMag_i,psfMag_z
1237648674510995691,21.3556,19.96498,19.38107,19.12813,18.72835
1237648674510995704,20.85371,19.17773,18.38273,18.06475,17.6764
1237648674511847548,21.47003,20.11163,19.09579,18.55508,18.30263
1237648674512109722,20.05618,19.0418,18.5139,18.18192,18.0766
1237648674512109812,22.91436,20.95754,19.26978,18.76397,18.39173
1237648674512109741,21.50982,20.28804,19.76124,19.64143,19.67933
1237648674511913079,21.13614,19.94027,19.26777,18.91196,18.69501
1237648674511454366,21.41713,19.64542,18.67153,18.23602,17.86747
1237648674511454344,21.78921,20.02716,19.44375,19.0811,18.66966
1237648674511454333,21.12763,19.15929,18.29165,17.91181,17.50234
1237648674529477082,21.66154,20.18338,19.70024,19.35396,18.89671
1237648674510995773,20.91836,19.10681,18.27263,17.94123,17.58587
1237648674510995771,21.71629,19.90314,19.05933,18.69425,18.23379
1237648674510995755,21.06839,19.77653,19.20382,18.90393,18.60561
1237648674510995750,19.96455,18.95554,18.60604,18.35859,18.15963
1237648674510995596,21.43764,19.38023,18.21746,17.79034,17.40755
1237648674510995594,19.32341,17.30203,16.47556,16.14195,15.74438
1237648674512109698,20.04355,19.23066,18.87363,18.80464,18.6765
1237648674511913132,21.75171,20.2056,18.77901,18.26814,17.86868
1237648674510996239,23.57238,21.99268,20.25215,19.62272,19.16153
1237648674529411358,20.86849,18.82167,17.88119,17.45015,17.0343
1237648674529346025,21.56025,19.46931,18.49046,18.06089,17.64705
1237648674512109738,22.02794,20.2951,18.97336,18.58087,18.25188
1237648674512109687,20.92736,19.05593,17.96953,17.58865,17.18548
1237648674512044132,21.64059,20.19166,18.72784,18.27205,17.94507
1237648674511978567,21.22107,20.10772,19.40773,19.09321,18.96727
1237648674511913157,21.29965,19.64994,18.68805,18.19513,17.88039
1237648674511782075,20.80107,19.19116,18.38101,17.98624,17.68698
1237648674511782031,20.87572,19.06689,18.17763,17.78177,17.47581
1237648674511781988,20.23994,19.67138,19.23068,18.84825,18.73305
1237648674511716531,20.03839,18.78814,18.13894,17.7145,17.46875
1237648674511716495,21.46864,19.71807,18.91868,18.55817,18.18756
1237648674511716490,20.49947,19.14649,18.3758,17.93927,17.56033
1237648674511651105,25.06596,21.61668,19.8333,19.14397,18.64936
1237648674511651055,21.03457,19.16919,18.32403,17.93583,17.5809
1237648674511651009,20.74863,19.86722,19.32311,18.93236,18.63563
1237648674511650938,20.42938,18.59956,17.67326,17.24196,16.84534
1237648674511650857,21.35605,19.74872,18.77982,18.30738,17.90006
1237648674511585367,21.00714,19.20275,18.32618,17.93571,17.53862
1237648674511454455,23.95903,21.46857,19.79227,19.15082,18.67094
1237648674529476964,20.79309,19.21464,18.66981,18.36005,17.93696
1237648674529476993,20.68957,19.12069,18.55509,18.23139,17.78687
1237648674511323346,20.60203,19.52597,19.35313,19.12707,18.88806
1237648674511257860,19.93533,18.92471,18.5922,18.30422,18.03196
1237648674511126743,22.4216,20.58117,19.17318,18.63453,18.21529
1237648674511126652,21.15556,19.69242,19.02469,18.60696,18.14653
1237648674511061240,19.63458,19.07759,19.14723,19.29111,19.08281
1237648674510995713,19.90994,18.72647,18.20267,17.92372,17.58958
1237648674510930153,21.05515,19.59176,18.76778,18.29035,17.99154
1237648674510864659,23.65567,21.73602,20.01795,19.36531,18.90429
1237648674510864562,21.60327,19.58914,18.46829,18.04641,17.61564
1237648674510864553,21.21799,19.69544,18.77866,18.37895,17.98328
1237648674510799058,22.71645,20.90338,19.55339,19.06795,18.74492
1237648673460912298,21.50047,19.37401,18.40235,17.97747,17.52597
1237648673460847568,22.0136,20.42674,19.69473,19.3395,18.88725
1237648673460847561,22.89479,20.78407,19.8102,19.23683,18.67752
1237648673460847290,21.24716,19.30557,18.16734,17.68247,17.13857
1237648673459667234,20.27183,18.51378,17.5861,17.13025,16.76611
1237648673459667002,20.96495,19.92033,19.44386,19.18604,18.96148
1237648673459339331,20.97494,18.99387,17.96438,17.53541,17.05635
1237648673459274497,21.95931,20.18516,19.12873,18.64295,18.21235
1237648673459274476,21.71207,19.70942,18.77588,18.3106,17.95116
1237648673459274392,21.45672,19.53272,18.59547,18.12627,17.7492
1237648673459274344,21.36966,19.306,18.32387,17.83719,17.41129
1237648673459274263,21.16295,19.76787,18.97408,18.45944,18.09265
1237648673459077500,22.0215,20.3481,19.63628,19.30174,19.09216
1237648673459077169,20.91339,18.98744,17.99001,17.56931,17.17567
1237648673458947722,23.74213,22.25949,20.43398,19.78184,19.35334
1237648673458946577,20.96879,19.02895,18.0307,17.59025,17.22804
1237648673458881081,21.79053,20.65021,19.86777,19.54614,19.36228
1237648673458881046,20.77064,19.27517,18.36818,17.96077,17.65326
1237648673458881038,21.59434,20.25174,19.09266,18.66689,18.35437
1237648673458684391,21.61594,19.82071,18.74528,18.2769,17.91661
1237648673458684355,20.38718,19.16409,18.29251,17.84023,17.48519
1237648673458619483,23.57552,22.57467,20.82058,20.12952,19.5654
1237648673458554172,24.00014,22.28195,20.33606,19.63338,19.14514
1237648673458553624,20.51902,18.75244,17.70428,17.25353,16.87228
1237648673456259731,23.68474,21.64484,19.82186,19.1343,18.8172
1237648597726790441,21.78214,20.36891,19.8267,19.45499,19.08235
1237648597190115880,21.63313,20.70536,20.05927,19.69188,19.21762
1237648596651737639,21.0447,19.90731,19.19774,18.63411,18.44801
1237648595579699667,20.2491,19.16524,18.23806,17.70183,17.41204
1237648674511782025,19.89496,19.33691,19.11713,18.58697,18.62908
1237648674511519873,21.8322,20.05323,18.99859,18.51747,18.06874
1237648673996341293,21.5057,19.88993,18.85184,18.3803,17.91351
1237648673992868223,21.52721,19.63238,18.77926,18.18297,17.79726
1237648673460848323,23.42001,22.09511,20.18942,19.49294,18.85003
1237648673458815588,22.24562,20.24396,18.99509,18.53479,18.17496
1237648673458553269,22.18155,20.61018,21.56585,19.1998,18.79408
1237648673458553268,15.98999,14.15784,14.55655,13.12158,12.97481
1237648673456455904,21.45569,19.71084,18.6647,18.22483,17.89518
1237648597190377691,21.66786,19.73081,19.16507,18.74496,18.38212
1237648674529804794,23.27768,21.43992,19.7287,19.14704,18.676
1237648674529476946,20.64628,18.47033,17.60958,17.18566,16.74067
1237648674511716520,20.8386,19.08853,18.21024,17.7998,17.45586
1237648674511520381,24.98203,22.54154,20.82159,19.999,19.3527
1237648674511126687,21.00533,19.11861,18.28256,17.8856,17.46399
1237648674529608020,21.19929,19.81666,19.23848,18.87913,18.44178
1237648674510733490,21.98265,20.16107,18.87795,18.4344,18.08091
1237648673997128266,20.42265,18.71139,17.82191,17.47851,17.20011
1237648673997127724,19.22984,17.8879,17.27006,16.9778,16.76082
1237648673996931887,21.95324,19.91817,18.72018,18.25596,17.89954
1237648673996931811,22.08549,20.54634,19.59245,19.15709,18.77865
1237648673996931633,21.48225,19.61543,18.59269,18.15416,17.75766
1237648673996603913,22.22392,20.47616,19.39121,18.75636,18.25129
1237648673996473880,22.85966,21.24659,20.47015,19.92934,19.43189
